STATES,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,YEAR,TOTAL_CONSUMPTION,AVERAGE_CONSUMPTION
24,-0.8170770510316889,-0.8072439707800126,-0.8181689849554388,-0.8190064842637809,-0.8407972042226083,-0.8407230224648653,-0.9371973739911613,-0.9540697110039088,-0.9478703918192345,-0.9376387684259552,-0.9353009029714942,-0.9294911335655863,2005,-10.584584999495734,-0.8820487499579778
4,0.4904400750428046,0.5333518133661128,0.4414639988430612,0.4664895657509865,0.5023614151111596,0.4630157572708349,0.5228302779781042,0.473515082636292,0.4814930889832973,0.5209832770316559,0.5383671546767675,0.545482012785253,2005,5.9797935194763285,0.4983161266230274
12,1.9986237656631598,1.8194858383159078,1.7811798235107752,2.0723210043544893,2.1066280756261633,2.251978343799754,2.4064167828622036,2.2536947810542878,2.4349342388666666,2.2977794678360866,2.2986525973837235,2.217543518201413,2005,25.93923823747463,2.1616031864562193
7,-0.4244824498346163,-0.4570442174865253,-0.4650318171360007,-0.42349836360183085,-0.5011730616256294,-0.4841527891379833,-0.5150723252021796,-0.5445886058645555,-0.5160695311787743,-0.5442049319296627,-0.5378129065750686,-0.429302899069547,2005,-5.842433898642374,-0.48686949155353115
20,0.639808682030875,0.6759489227706124,0.6929171743716133,0.6922499052579446,0.7414327481934926,0.7401884448828665,0.8277509523344421,0.8262894537233738,0.8127559967697754,0.813053722491681,0.7994201771824712,0.7911714696047593,2005,9.052987649613907,0.7544156374678256
25,0.639808682030875,0.6759489227706124,0.6929171743716133,0.6922499052579446,0.7414327481934926,0.7401884448828665,0.8277509523344421,0.8262894537233738,0.8127559967697754,0.813053722491681,0.7994201771824712,0.7911714696047593,2005,9.052987649613907,0.7544156374678256
13,0.9749444721673628,0.9866779061634795,0.9116840779181419,1.0600496326591997,1.0722554444589656,1.1731178482354576,1.223083198418239,1.2117423995465921,1.2258753693532707,1.1403255881776753,1.1562440695596745,1.1267467397775695,2005,13.262746746435626,1.105228895536302
23,0.4336382980351536,0.43827856178634794,0.36454024669942336,0.4952615408354646,0.3927454797798706,0.42926124449830133,0.4892876499811692,0.47856169584443575,0.4654128468190477,0.412483637443406,0.37834837740416455,0.46207079093060416,2005,5.23989037005739,0.4366575308381158
19,1.4007236492425184,1.3762503691291144,1.3974815697901162,1.3181116527712777,1.30416287063767,1.4329329649981675,1.6315416023265858,1.606057596894061,1.4765433408784971,1.3950035502968974,1.3682924415507802,1.5422166352779312,2005,17.249318243793613,1.437443186982801
11,-0.6103701217469684,-0.6265643139413453,-0.59384482767197,-0.5993256988438022,-0.6451718042780864,-0.6521490138484406,-0.7528843476745597,-0.7641326880300991,-0.7471787730238194,-0.7502072478579561,-0.7113214584335918,-0.7158567479504498,2005,-8.169007043301088,-0.6807505869417573
10,-0.5190440572898651,-0.5155228254222359,-0.4909648068635199,-0.49084343733870867,-0.5135459743279333,-0.49376926334055365,-0.585733277909591,-0.6091235132408993,-0.5459509170466054,-0.5555966936088517,-0.5276487495626458,-0.5415327583855134,2005,-6.389276274336923,-0.5324396895280769
8,-0.013268299978061542,-0.017886897521119244,-0.06071811185185137,0.005390637028348303,0.016166728423936308,0.04932869467651695,0.06214566192350869,0.05786152613918429,0.12290017972526267,0.09864425410177953,0.056518605431491814,-0.030467629446855934,2005,0.34661534865214044,0.02888461238767837
